Code,Nom français,Nom latin
GAB,Gaylussaquier à fruits bacciformes,Gaylussacia baccata (Wangenheim) K. Koch
GAE,Ortie royale,Galeopsis tetrahit Linnaeus
GAL,Gaillet du labrador,Galium labradoricum (Wiegand) Wiegand
GAP,Thé des bois,Gaultheria procumbens Linnaeus
GAS,Gaillet,Galium Linnaeus
GAT,Gaillet à trois fleurs,Galium triflorum Michaux
GEA,Benoîte d'alep,Geum aleppicum Jacquin
GEC,Benoîte du canada,Geum canadense Jacquin
GEL,Gentiane à feuilles linéaires,Gentiana linearis Froelich
GEM,Benoîte à grandes feuilles,Geum macrophyllum Willdenow
GEO,Géranium de robert,Geranium robertianum Linnaeus
GER,Benoîte des ruisseaux,Geum rivale Linnaeus
GES,Géranium,Geranium Linnaeus
GET,Gérardie à feuilles ténues,Agalinis tenuifolia (Vahl) Rafinesque
GEU,Benoîte,Geum Linnaeus
GLH,Lierre terrestre,Glechoma hederacea Linnaeus
GNU,Gnaphale des vases,Gnaphalium uliginosum Linnaeus
GNV,Gnaphale de macoun,Pseudognaphalium macounii (Greene) Kartesz
GOO,Goodyérie à feuilles oblongues,Goodyera oblongifolia Rafinesque
GOR,Goodyérie rampante,Goodyera repens (Linnaeus) R. Brown
GOS,Goodyérie,Goodyera R. Brown
GRS,Poacées,Poaceae Barnhart
HAB,Orchis grenouille,Coeloglossum viride (Linnaeus) Hartman
HAO,Platanthère à feuilles orbiculaires,Platanthera orbiculata (Pursh) Lindley
HAS,Platanthère,Platanthera Richard
HAV,Hamamélis de virginie,Hamamelis virginiana Linnaeus
HEA,Hépatique à lobes aigus,Hepatica acutiloba de Candolle
HEG,Hêtre à grandes feuilles,Fagus grandifolia Ehrhart
HEM,Berce laineuse,Heracleum maximum W. Bartram
HEP,Hépatique d'amérique,Hepatica americana (de Candolle) Ker Gawler
HES,Hélianthe scrofuleux,Helianthus strumosus Linnaeus
HIA,Épervière orangée,Pilosella aurantiaca (Linnaeus) F.W. Shultz & Schultz Bipontinus
HIP,Épervière des prés,Pilosella caespitosa (Dumortier) P.D. Sell & C. West
HIS,Épervière,Hieracium Linnaeus
HUL,Houblon commun,Humulus lupulus Linnaeus
HYA,Hydrocotyle d'amérique,Hydrocotyle americana Linnaeus
HYC,Millepertuis du canada,Hypericum canadense Linnaeus
HYF,Millepertuis commun,Hypericum perforatum Linnaeus
HYG,Millepertuis de virginie,Hypericum virginicum Linnaeus
HYL,Millepertuis elliptique,Hypericum ellipticum Hooker
HYM,Millepertuis nain,Hypericum mutilum Linnaeus
HYP,Millepertuis,Hypericum Linnaeus
HYS,Hypne éclatante,Hylocomium splendens (Hedw.) Schimp.
HYT,Millepertuis ponctué,Hypericum punctatum Lamarck
HYV,Hydrophylle de virginie,Hydrophyllum virginianum Linnaeus
HYY,Millepertuis à grandes fleurs,Hypericum ascyron subsp. pyramidatum (Aiton) N. Robson
ILV,Houx verticillé,Ilex verticillata (Linnaeus) A. Gray
IMC,Impatiente du cap,Impatiens capensis Meerburgh
IMP,Impatiente pâle,Impatiens pallida Nuttall
IMS,Impatiente,Impatiens Linnaeus
INH,Inule aunée,Inula helenium Linnaeus
IRV,Iris versicolore,Iris versicolor Linnaeus
JUC,Genévrier commun,Juniperus communis Linnaeus
JUH,Genévrier horizontal,Juniperus horizontalis Moench
JUN,Genévrier,Juniperus Linnaeus
KAA,Kalmia à feuilles étroites,Kalmia angustifolia Linnaeus
KAP,Kalmia à feuilles d'andromède,Kalmia polifolia Wangenheim
LAB,Laitue bisannuelle,Lactuca biennis (Moench) Fernald
LAC,Laportéa du canada,Laportea canadensis (Linnaeus) Weddell
LAN,Laitue du canada,Lactuca canadensis Linnaeus
LAP,Gesse des prés,Lathyrus pratensis Linnaeus
LAT,Gesse des marais,Lathyrus palustris Linnaeus
LEA,Liondent d'automne,Scorzoneroides autumnalis (Linnaeus) Moench
LEC,Agripaume cardiaque,Leonurus cardiaca Linnaeus
LEG,Thé du labrador,Rhododendron groenlandicum (Oeder) Kron & Judd
LEM,Lenticule mineure,Lemna minor Linnaeus
LIB,Linnée boréale,Linnaea borealis Linnaeus
LIC,Listère à feuilles cordées,Neottia cordata (Linnaeus) Richard
LIL,Lis du canada,Lilium canadense Linnaeus
